,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length,,,,,,,,,,
empty_ng_plus_desc,"Once again......",,,,,,,,"再一次......",,,,,,,,,,,,,,,
empty_teleport_pyramid,"Portal to top of Pyramid",,,,,,,,"去往 金字塔顶 的传送门",,,,,,,,,,,,,,,
perkdesc_empty_borrowed_vulnerability,"All damage multipliers ×125%\nwhen remove this perk: all damage multipliers ÷325%",,,,,,,,"所有承伤系数 ×125%\n移除此天赋时: 所有承伤系数 ÷325%",,,,,,,,,,,,,,,,
perk_empty_stone_skin,Stone Skin,,,,,,,,石肤,,,,,,,,,,,,,,,,
perkdesc_empty_stone_skin,"Most types of damage you receive are reduced to 50% or even 25%, but a few types of damage are increased to 325%",,,,,,,,"你受到的大部分类型的伤害降低至 50% 甚至 25%, 但少部分类型的伤害提升至 325%",,,,,,,,,,,,,,,,
perk_empty_radiance,Radiance,,,,,,,,光辉,,,,,,,,,,,,,,,,
perkdesc_empty_radiance,You emit a bright light that repels nearby creatures,,,,,,,,你散发出驱散附近生物的明亮光芒,,,,,,,,,,,,,,,,
perk_empty_more_spell_inventory,More Spell Inventory,,,,,,,,更多法术栏,,,,,,,,,,,,,,,,
perkdesc_empty_more_spell_inventory,"You have 1 more extra row of inventory to carry spells\ndon't pretend to be clever......",,,,,,,,"你可以携带额外 1 行法术\n不要自作聪明......",,,,,,,,,,,,,,,,
perk_empty_percentage_off,% Off,,,,,,,,% 折扣,,,,,,,,,,,,,,,,
perkdesc_empty_percentage_off,"Items for sell randomly get 25%, 50%, 75% or even 100% off\nadapted from mod [ Mega Perk Pack ] with modifications\ni'm grateful to its author [ PickledSosig ] for granting permission to use it",,,,,,,,"售卖的物品随机获得 25%、 50%、 75% 甚至 100% 的折扣\n搬运自模组 [ Mega Perk Pack ] , 有更改\n感谢其开发者 [ PickledSosig ] 的搬运许可",,,,,,,,,,,,,,,,
perk_empty_sanctuary_shield,Sanctuary Shield,,,,,,,,庇护之盾,,,,,,,,,,,,,,,,
perkdesc_empty_sanctuary_shield,When stationary: Unfold a layer of highly defensive shield with strong protection\nSanctuary Shield needs 2.5s to fully spread,,,,,,,,静止不动时: 展开 1 层有极强防御的庇护之盾\n庇护之盾需要 2.5 秒完全展开,,,,,,,,,,,,,,,,
perk_empty_adjust,"Adjustment",,,,,,,,"校准",,,,,,,,,,,,,,,,
perkdesc_empty_adjust,"You continuously adjust your wand while not casting spells\nadjust state resets immediately after each cast\nYou need 3 seconds to fully adjust\nWhile fully adjusted: -120° spread, all types of damage ×3",,,,,,,,"你不施法时持续校准你的法杖\n每次施法后立即重置校准状态\n你需要 3 秒完全校准\n处于完全校准状态时: -120° 散射、全类型伤害 ×3",,,,,,,,,,,,,,,,
perk_empty_hearts_also_heal,Hearts healing,,,,,,,,红心治疗术,,,,,,,,,,,,,,,,
perkdesc_empty_hearts_also_heal,Hearts also heal you,,,,,,,,红心也治疗你,,,,,,,,,,,,,,,,
perk_empty_health_regeneration,Health Regeneration,,,,,,,,生命自然恢复,,,,,,,,,,,,,,,,
perkdesc_empty_health_regeneration,You regenerate health over time.,,,,,,,,你随时间流逝自然恢复生命,,,,,,,,,,,,,,,,
perk_empty_chaos,"Chaos",,,,,,,,"混乱",,,,,,,,,,,,,,,,
perkdesc_empty_chaos,"Many life",,,,,,,,"有许多生命在混乱面前倒下了\n但绝非此人, 绝非此刻",,,,,,,,,,,,,,,,
--perk_empty_,Perk Recycle ( One-off ),,,,,,,,"天赋回收（一次性）",,,,,,,,,,,,,,,,
--perkdesc_empty_,"You gain 3 chances to remove a perk via right-clicking, and gold is returned when removing",,,,,,,,"你获得 3 次通过右键点击移除天赋的机会, 且移除时会返还黄金",,,,,,,,,,,,,,,,
perk_empty_dewborne_breeze,Dewborne Breeze,,,,,,,,饮露餐风,,,,,,,,,,,,,,,,
perkdesc_empty_dewborne_breeze,"If herd of all loaded creatures does not exactly match yours, once every 15 seconds: all creatures take curse damage equal to 15% of your max health\nwhen get this perk, if you have [ Flesh & Flame ] perk: remove [ Flesh & Flame ] perk",,,,,,,,"如果加载中的所有生物的阵营与你的阵营不完全相同, 每 15 秒 1 次: 所有生物受到等同于你生命上限 15% 的诅咒伤害\n获得此天赋时, 若你持有 [ 人间烟火 ] 天赋: 移除 [ 人间烟火 ] 天赋",,,,,,,,,,,,,,,,
perk_empty_flesh_and_flame,Flesh & Flame,,,,,,,,人间烟火,,,,,,,,,,,,,,,,
perkdesc_empty_flesh_and_flame,"If your current health is below max health, once every 15 seconds: all creatures receive healing equal to 7.5% of your max health\nwhen get this perk, if you have [ Dewborne Breeze ] perk: remove [ Dewborne Breeze ] perk",,,,,,,,"如果你的生命值低于生命值上限, 每 15 秒 1 次: 所有生物受到等同于你生命上限 7.5% 的治疗\n获得此天赋时, 若你持有 [ 饮露餐风 ] 天赋: 移除 [ 饮露餐风 ] 天赋",,,,,,,,,,,,,,,,
perk_empty_curse_illiterate,"CURSE: ???",,,,,,,,"诅咒: ???",,,,,,,,,,,,,,,,
perkdesc_empty_curse_illiterate,"???? ? ????",,,,,,,,"????",,,,,,,,,,,,,,,,
perk_empty_curse_monk,"CURSE: Monk",,,,,,,,"诅咒: 和尚",,,,,,,,,,,,,,,,
perkdesc_empty_curse_monk,"You have become enlightened\nall non-curse damage you take is reduced\nadditionally get [ Gold Is Forever ], 5 stacks of [ Attract Gold ] and [ % Off ] perk\n......what precepts does a monk follow?",,,,,,,,"你开悟了, 降低你受到的所有非诅咒类型的伤害\n获得此诅咒时额外获得 [ 黄金永恒 ] 、 5 层 [ 吸金大法 ] 与 [ % 折扣 ] 天赋\n......和尚有什么戒律吗?",,,,,,,,,,,,,,,,
perk_empty_curse_always_shuffle,"CURSE: Always Shuffle",,,,,,,,"诅咒: 始终乱序",,,,,,,,,,,,,,,,
perkdesc_empty_curse_always_shuffle,"÷2 fire rate wait and reload time for all wands ( if already negative: ×2 )\nbut, from now on all newly generated wands and wands in your inventory always shuffle",,,,,,,,"÷2 所有法杖的施法延迟与充能时间 ( 已是负数时: 改为 ×2 )\n但是, 新生成以及你物品栏的所有法杖都始终乱序",,,,,,,,,,,,,,,,
perk_empty_curse_short_wand,"CURSE: Short Wand",,,,,,,,"诅咒: 短杖",,,,,,,,,,,,,,,,
perkdesc_empty_curse_short_wand,"×1.2 mana max and mana charge speed for all wands\nbut, from now on all newly generated wands and wands in your inventory will be much shorter",,,,,,,,"×1.2 所有法杖的法力上限与法力回复速度\n但是, 新生成以及你物品栏的所有法杖的容量都降低许多",,,,,,,,,,,,,,,,
perk_empty_curse_malice_washes_over,"CURSE: Malice Washes Over",,,,,,,,"诅咒: 邪念冲刷而过",,,,,,,,,,,,,,,,
perkdesc_empty_curse_malice_washes_over,"*Literal meaning*",,,,,,,,"*字面含义*",,,,,,,,,,,,,,,,
perk_empty_curse_reality_shift,"CURSE: Reality Shift",,,,,,,,"诅咒: 现实变换",,,,,,,,,,,,,,,,
perkdesc_empty_curse_reality_shift,"You hear word [ ***** ] echoing, shifting its colors",,,,,,,,"你听见 [ ** ] 这个词在回响, 变换着色彩",,,,,,,,,,,,,,,,
perk_empty_curse_guaranteed_lose,"CURSE: “Guaranteed Win”",,,,,,,,"诅咒: “保送”",,,,,,,,,,,,,,,,
perkdesc_empty_curse_guaranteed_lose,"all newly wands have 50% chance with always-cast: [ Circle of vigour ], ×2 healing damage multiplier\ngain 4 potions of healthium\nand what, Gul'dan, must we give it return?",,,,,,,,"新生成的法杖有 50% 的概率带有始终释放 [ 活力之环 ] , ×4 治疗承伤系数\n获得 4 瓶生命基质\n但是, 古尔丹, 代价是什么呢?",,,,,,,,,,,,,,,,
perk_empty_curse_gravity_free,"CURSE: Force Field Liberation",,,,,,,,"诅咒: 力场解放",,,,,,,,,,,,,,,,
perkdesc_empty_curse_gravity_free,"You broke out from imprisonment of a certain force field\n......which force field though?\nadditionally get [ Hook ] spell when get this CURSE",,,,,,,,"你从某个力场的囚禁内破笼而出\n......是哪个力场呢?\n获得此诅咒时额外获得 [ 钩爪 ] 法术",,,,,,,,,,,,,,,,
perk_empty_curse_death_trail,"CURSE: Death Trail",,,,,,,,"诅咒: 死亡轨迹",,,,,,,,,,,,,,,,
perkdesc_empty_curse_death_trail,"Death flows like water, ever at my side",,,,,,,,"死亡如水, 常伴吾身",,,,,,,,,,,,,,,,
perk_empty_curse_furious_cocktail,"CURSE: Furious Cocktail",,,,,,,,"诅咒: 狂乱的鸡尾酒",,,,,,,,,,,,,,,,
perkdesc_empty_curse_furious_cocktail,"A dazzling feast of effects, indeed",,,,,,,,"何等缤纷的效果盛宴",,,,,,,,,,,,,,,,
action_empty_summon_frog,"Summon frog",,,,,,,,"召唤呱呱",,,,,,,,,,,,,,,,
actiondesc_empty_summon_frog,"High chance to summon small frog ( 2 / 3 )\nLow chance to summon big frog ( 1 / 3 )",,,,,,,,"大概率召唤小呱呱 ( 2 / 3 )\n小概率召唤大呱呱 ( 1 / 3 )",,,,,,,,,,,,,,,,
action_empty_summon_crystal_red,"Summon red crystal",,,,,,,,"召唤红水晶",,,,,,,,,,,,,,,,
actiondesc_empty_summon_crystal_red,"Summon a familiar red crystal\nyou know what will happen",,,,,,,,"召唤 1 个眼熟的红色水晶\n你知道会发生什么的",,,,,,,,,,,,,,,,
action_empty_summon_crystal_pink,"Summon pink crystal",,,,,,,,"召唤粉水晶",,,,,,,,,,,,,,,,
actiondesc_empty_summon_crystal_pink,"Summon a familiar pink crystal\nyou know what will happen",,,,,,,,"召唤 1 个眼熟的粉色水晶\n你知道会发生什么的",,,,,,,,,,,,,,,,
action_empty_summon_crystal_green,"Summon green crystal",,,,,,,,"召唤绿水晶",,,,,,,,,,,,,,,,
actiondesc_empty_summon_crystal_green,"......Seriously?",,,,,,,,"......认真的?",,,,,,,,,,,,,,,,
action_empty_summon_vine,"Summon vine",,,,,,,,"召唤藤蔓",,,,,,,,,,,,,,,,
actiondesc_empty_summon_vine,"Summon a lively vine\nperharps it could be very useful in some strange place?",,,,,,,,"召唤一条生机勃勃的藤蔓\n也许在一些奇奇怪怪的地方很有用?",,,,,,,,,,,,,,,,
action_empty_sticky_bomb,"Sticky bomb",,,,,,,,"粘性炸弹",,,,,,,,,,,,,,,,
actiondesc_empty_sticky_bomb,"Very nice bomb, love from [ Terraria ] ",,,,,,,,"非常好炸弹, 爱来自 [ 泰拉瑞亚 ]",,,,,,,,,,,,,,,,
action_empty_bouncy_bomb,"Bouncy bomb",,,,,,,,"弹性炸弹",,,,,,,,,,,,,,,,
actiondesc_empty_bouncy_bomb,"Who taught you THIS???",,,,,,,,"谁教你的???",,,,,,,,,,,,,,,,
action_empty_sticky_dynamite,"Sticky dynamite",,,,,,,,"粘性雷管",,,,,,,,,,,,,,,,
actiondesc_empty_sticky_dynamite,"Very nice dynamite, love from [ Terraria ] ",,,,,,,,"非常好雷管, 爱来自 [ 泰拉瑞亚 ]",,,,,,,,,,,,,,,,
action_empty_bouncy_dynamite,"Bouncy dynamite",,,,,,,,"弹性雷管",,,,,,,,,,,,,,,,
actiondesc_empty_bouncy_dynamite,"This isn't a good idea......definitely",,,,,,,,"这......绝不是个好主意",,,,,,,,,,,,,,,,
action_empty_white_hole_death_trigger,"White hole with death trigger",,,,,,,,"带有失效触发的白洞",,,,,,,,,,,,,,,,
actiondesc_empty_white_hole_death_trigger,"A slow orb of positive energy, eats through all obstacles, cast next spell as it expires",,,,,,,,"缓慢的正能量球体, 吞噬沿途的一切障碍, 并在失效时释放下一法术",,,,,,,,,,,,,,,,
action_empty_light_bullet_death_trigger,"Spark bolt with death trigger",,,,,,,,"带有失效触发的火花弹",,,,,,,,,,,,,,,,
actiondesc_empty_light_bullet_death_trigger,"A weak but enchanting sparkling projectile, cast next spell as it expires",,,,,,,,"弱小但带有迷人闪烁的投射物, 在失效时释放下一法术",,,,,,,,,,,,,,,,
action_empty_light_bullet_timer_2,"Spark bolt with double timer",,,,,,,,"带有双重定时的火花弹",,,,,,,,,,,,,,,,
actiondesc_empty_light_bullet_timer_2,"A weak but enchanting sparkling projectile, cast 2 spells after a timer runs out",,,,,,,,"弱小但带有迷人闪烁的投射物, 在定时结束后释放 2 个法术",,,,,,,,,,,,,,,,
action_empty_double_light_bullet_trigger_timer,"Double spark bolt with trigger / timer",,,,,,,,"带有触发 / 定时的双重火花弹",,,,,,,,,,,,,,,,
actiondesc_empty_double_light_bullet_trigger_timer,"2 weak but enchanting sparkling projectile\n1st casts next spell upon collision\n2nd casts next spell after 10-frame timer runs out",,,,,,,,"2 个弱小但带有迷人闪烁的投射物\n第 1 个在碰撞时释放下一法术\n第 2 个在 10 帧的定时结束后释放下一法术",,,,,,,,,,,,,,,,
action_empty_light_bullet_trigger_timer_death_trigger,"Spark bolt with trigger, timer and death trigger",,,,,,,,"带有触发、定时与失效触发的火花弹",,,,,,,,,,,,,,,,
actiondesc_empty_light_bullet_trigger_timer_death_trigger,"A weak but enchanting sparkling projectile\ncast next spell upon collision\ncast next spell after 10-frame timer runs out\ncast next spell as it expires",,,,,,,,"弱小但带有迷人闪烁的投射物\n在碰撞时释放下一法术\n在 10 帧的定时结束后释放下一法术\n在失效时释放下一法术",,,,,,,,,,,,,,,,
action_empty_rubber_ball_trigger,"Bouncing burst with trigger",,,,,,,,"带有触发的弹跳爆发",,,,,,,,,,,,,,,,
actiondesc_empty_rubber_ball_trigger,"A very bouncy projectile, cast next spell upon collision",,,,,,,,"极具弹跳力的投射物, 在碰撞时释放下一法术",,,,,,,,,,,,,,,,
action_empty_rubber_ball_timer,"Bouncing burst with timer",,,,,,,,带有定时的弹跳爆发,,,,,,,,,,,,,,,,
actiondesc_empty_rubber_ball_timer,"A very bouncy projectile, cast next spell after a timer runs out",,,,,,,,"极具弹跳力的投射物, 在定时结束后释放下一法术",,,,,,,,,,,,,,,,
action_empty_rubber_ball_death_trigger,"Bouncing burst with death trigger",,,,,,,,"带有失效触发的弹跳爆发",,,,,,,,,,,,,,,,
actiondesc_empty_rubber_ball_death_trigger,"A very bouncy projectile, cast next spell as it expires",,,,,,,,"极具弹跳力的投射物, 在失效时释放下一法术",,,,,,,,,,,,,,,,
action_empty_rubber_ball_trigger_2,"Bouncing burst with double trigger",,,,,,,,"带有双重触发的弹跳爆发",,,,,,,,,,,,,,,,
actiondesc_empty_rubber_ball_trigger_2,"A very bouncy projectile, cast 2 spells upon collision",,,,,,,,"极具弹跳力的投射物, 在碰撞时释放 2 个法术",,,,,,,,,,,,,,,,
action_empty_rubber_ball_timer_2,"Bouncing burst with double timer",,,,,,,,"带有双重定时的弹跳爆发",,,,,,,,,,,,,,,,
actiondesc_empty_rubber_ball_timer_2,"A very bouncy projectile, cast 2 spells after a timer runs out",,,,,,,,"极具弹跳力的投射物, 在定时结束后释放 2 个法术",,,,,,,,,,,,,,,,
action_empty_double_rubber_ball_trigger_timer,"Double bouncing burst with trigger / timer",,,,,,,,"带有触发 / 定时的双重弹跳爆发",,,,,,,,,,,,,,,,
actiondesc_empty_double_rubber_ball_trigger_timer,"2 very bouncy projectile\n1st casts next spell upon collision\n2nd casts next spell after 20-frame timer runs out",,,,,,,,"2 个极具弹跳力的投射物, 其中 1 个在碰撞时释放下一法术, 另 1 个在 20 帧的定时结束后释放下一法术",,,,,,,,,,,,,,,,
action_empty_holy_orb,Holy orb,,,,,,,,圣球,,,,,,,,,,,,,,,,
actiondesc_empty_holy_orb,"A holy orb, deals holy damage rarely",,,,,,,,"神圣法球, 罕见地造成神圣伤害",,,,,,,,,,,,,,,,
action_empty_ice_circle,Ice circle,,,,,,,,冰冻环散,,,,,,,,,,,,,,,,
actiondesc_empty_ice_circle, 12 icy projectiles spread out in a circular pattern,,,,,,,, 12 个冰冷的投射物以环形扩散,,,,,,,,,,,,,,,,
action_empty_bloom_circle,Bloom circle,,,,,,,,繁茂环散,,,,,,,,,,,,,,,,
actiondesc_empty_bloom_circle, 8 lively slime ball out in a circular pattern,,,,,,,, 8 个充满生机的粘液球以环形扩散,,,,,,,,,,,,,,,,
action_empty_orb_timer_circle,Magic orb: circle,,,,,,,,法球: 圆环,,,,,,,,,,,,,,,,
actiondesc_empty_orb_timer_circle,"A powerful magic orb, shoots its replica in 8 directions at regular intervals\nthese replicas will not shoot another replica again",,,,,,,,"强大的法球, 每隔一定时间向周围 8 个方向发射一圈它自己的复制\n这些复制品不会再发射另一复制",,,,,,,,,,,,,,,,
action_empty_orb_timer_spiral,Magic orb: spiral,,,,,,,,法球: 螺旋,,,,,,,,,,,,,,,,
actiondesc_empty_orb_timer_spiral,"A powerful magic orb, continuously shoots its replica in 12 directions around it in turns\nthese replicas will not shoot another replica again",,,,,,,,"强大的法球, 连续向周围 12 个方向依次发射它自己的复制\n这些复制品不会再发射另一复制",,,,,,,,,,,,,,,,
action_empty_orb_timer_circle_simple,Magic orb: circle ( simple ver. ),,,,,,,,法球: 圆环 ( 简化版 ),,,,,,,,,,,,,,,,
actiondesc_empty_orb_timer_circle_simple,"A powerful magic orb\nthis simplified version removes larpa module, thus significantly reduces mana cost",,,,,,,,"强大的法球\n这个简化版本移除了拉帕模块，因此显著地降低了法力消耗",,,,,,,,,,,,,,,,
action_empty_orb_timer_spiral_simple,Magic orb: spiral ( simple ver. ),,,,,,,,法球: 螺旋 ( 简化版 ),,,,,,,,,,,,,,,,
actiondesc_empty_orb_timer_spiral_simple,"A powerful magic orb\nthis simplified version removes larpa module, thus significantly reduces mana cost",,,,,,,,"强大的法球\n这个简化版本移除了拉帕模块，因此显著地降低了法力消耗",,,,,,,,,,,,,,,,
action_empty_shot_blocker_empty,"Projectile blocker",,,,,,,,"投射阻断",,,,,,,,,,,,,,,,
actiondesc_empty_shot_blocker_empty,"Block spawning of all projectiles after this spell within cast block",,,,,,,,"阻断此施法块内于此法术后的所有投射物的生成",,,,,,,,,,,,,,,,
action_empty_shot_blocker_draw,"Projectile blocker",,,,,,,,"投射阻断",,,,,,,,,,,,,,,,
actiondesc_empty_shot_blocker_draw,"Block spawning of all projectiles after this spell within cast block\nafter that, draw 1\nthis draw won't cause reload",,,,,,,,"阻断此施法块内于此法术后的所有投射物的生成\n那之后, 抽 1\n这个抽取不会引发回绕",,,,,,,,,,,,,,,,
action_empty_colorful_iter_projectile_buckshot,"Colorful Iter. Projectile: Buckshot",,,,,,,,"幻彩迭代投射物: 霰弹",,,,,,,,,,,,,,,,
actiondesc_empty_colorful_iter_projectile_buckshot,"Apply following effects based on iteration on cast\n1. if iteration exists: { colorful buckshot count } increases by iteration - 1\n2. if iteration doesn't exist: set sum of all { colorful buckshot count } in this cast to 0\nafter that, if { colorful buckshot count } > 0: cast colorful buckshot colorful buckshot count times\ndamage of colorful buckshot cast this way increases by ( sum of all { colorful buckshot count } in this cast ^ math.max( 1, number of NG+ ) )\nlifetime increases by ( 20% × ( sum of all { colorful buckshot count } in this cast - 1 ) )\nfire rate wait increased by ( 3 × { colorful buckshot count } ) frames\nspread degrees increases by ( 5 × { colorful buckshot count } ^ 2 )",,,,,,,,"根据释放时的 迭代数 把以下效果适用\n1. 有 迭代数: { 幻彩霰弹计数 } 增加 ( 迭代数 - 1 )\n2. 没有 迭代数: 本次施法当前 { 幻彩霰弹计数 } 之和变成 0\n那之后，如果 { 幻彩霰弹计数 } > 0: 释放 { 幻彩霰弹计数 } 个幻彩霰弹\n这个方法释放的幻彩霰弹伤害增加 ( 本次施法全部 { 幻彩霰弹计数 } 之和 ^ math.max( 1, NG+数 ) )\n存在时间延长 ( 20% × ( 本次施法全部 { 幻彩霰弹计数 } 之和 - 1 ) )\n释放延迟增加 ( 3 × { 幻彩霰弹计数 } ) 帧\n散射角度增加 ( 5 × { 幻彩霰弹计数 } ^ 2 )",,,,,,,,,,,,,,,,
action_empty_colorful_rec_iter_projectile_chainsaw,"Colorful Rec. Iter. Projectile: Chainsaw",,,,,,,,"幻彩递归迭代投射物: 链锯",,,,,,,,,,,,,,,,
actiondesc_empty_colorful_rec_iter_projectile_chainsaw,"Apply following effects based on recursion level and iteration on cast\n1. if recursion exists: fire rate wait set to 0, { colorful chainsaw count } increases by 3 × ( 1 + recursive level )\n2. if iteration exists: reload time set to 0, { colorful chainsaw count } increases by iteration\n3. if 1. and 2. both exist: mana set to half\n4. if 1. and 2. both don't exist: mana set to half, set sum of all { colorful chainsaw count }s in this cast to 0\nafter that, if { colorful chainsaw count } > 0: cast Colorful chainsaw 1 times\ndamage of Colorful chainsaw cast this way increases by SCALE * ( sum of all { colorful chainsaw count } in this cast ^ ( 1 + number of NG+ ) )\nspecifically, default value of SCALE is 25, some other mods may change this value",,,,,,,,"根据释放时的 递归等级 与 迭代数 把以下效果适用\n1. 有 递归等级: 施法延迟 变成 0，{ 幻彩链锯计数 } 增加 3 × ( 1 + 递归等级 )\n2. 有 迭代数: 充能时间 变成 0，{ 幻彩链锯计数 } 增加 迭代数\n3. 同时满足 1. 与 2.: 法力变成一半\n4. 同时不满足 1. 与 2.: 法力变成一半, 本次施法当前 { 幻彩链锯计数 } 之和变成 0\n那之后，如果 { 幻彩链锯计数 } > 0: 释放 1 个幻彩链锯\n这个方法释放的幻彩链锯伤害增加 ( 缩放比例 * 本次施法全部 { 幻彩链锯计数 } 之和 ^ ( 1 + NG+数 ) )\n特别地, 缩放比例 默认值为 25, 部分其他模组可能更改此数值",,,,,,,,,,,,,,,,
